Input Sample	Neurons_pos	Neurons_neg	P-value	Pearson Correlation	RMSE
R15380_HFF2HBBXX	0.26081349700551265	0.7391865029944874	0.044444444444444446	0.3593008560420031	0.9383226630440242
R15381_HCJGJBBXX	0.19076209916742437	0.8092379008325756	0.011111111111111112	0.5122245287383825	0.8893316639111913
R15382_HJV23BBXX	0.20340148612727904	0.796598513872721	0.06666666666666667	0.27085052702374063	0.9770898032160483
R15383_HJV23BBXX	0.37658793111926686	0.6234120688807332	0.011111111111111112	0.4495272532491435	0.8896941283700863
R15385_HCJGJBBXX	0.22093591190095319	0.7790640880990468	0.1111111111111111	0.2088364096217209	0.9981343851307289
R15389_HCJGJBBXX	0.19831552169332764	0.8016844783066723	0.011111111111111112	0.4907766323234237	0.8960213232817622
R15390_HJV3YBBXX	0.19234664992972525	0.8076533500702747	0.16666666666666666	0.1517791517935121	1.0193093183071782
R15391_HCJ72BBXX	0.35234553639717914	0.647654463602821	0.044444444444444446	0.35038559307687533	0.9402278950591467
R15392_HCJ72BBXX	0.2989997804572193	0.7010002195427807	0.044444444444444446	0.3731198959807275	0.9297468855395998
R15394_HJV3YBBXX	0.34486253363020725	0.6551374663697928	0.044444444444444446	0.34737143160471834	0.9413324915610992
R15395_HFF2HBBXX	0.22440173854935605	0.7755982614506439	0.05555555555555555	0.3304051174870449	0.9531571690251481
R15396_HJV23BBXX	0.3810756379792939	0.6189243620207061	0.044444444444444446	0.4117475312082457	0.910146964012688
R15397_HCJ72BBXX	0.3311474479467675	0.6688525520532326	0.011111111111111112	0.45133768680943764	0.8910115536436891
R15398_HCJ72BBXX	0.2847936108543603	0.7152063891456397	0.011111111111111112	0.4650650392453768	0.8902087107863695
R15399_HCJGJBBXX	0.14436515447123655	0.8556348455287635	0.011111111111111112	0.46683728879259173	0.9156335967109419
R15401_HJV23BBXX	0.11848921996897165	0.8815107800310283	0.011111111111111112	0.4865371416860379	0.9131816431128735
R15402_HCJGJBBXX	0.3154825833314172	0.6845174166685829	0.044444444444444446	0.3499873169356805	0.9396069626396958
R15406_HCJGJBBXX	0.179427973406472	0.8205720265935281	0.08888888888888889	0.2366840166052802	0.991411454091015
R15407_HJV3YBBXX	0.11190387350417264	0.8880961264958274	0.17777777777777778	0.11672872544847582	1.0398827296422846
R15408_HCJGJBBXX	0.10593234389755046	0.8940676561024495	0.25555555555555554	0.06749771252196853	1.0565555557769504
